,demo,negative_control,transactor_heavy,subprime_heavy,premium_heavy
accounts,5000.0,5000.0,2000.0,2000.0,2000.0
planted defects,584.0,0.0,234.0,210.0,253.0
net economic profit,166851.500088749,222834.10217499943,-48203.54393875005,-326888.54285583325,379779.32258875086
per account,33.3703000177498,44.56682043499988,-24.101771969375026,-163.44427142791662,189.88966129437543
% below cost,0.1976,0.197,0.1765,0.4375,0.0915
underused limits,0.0292,0.0208,0.0485,0.009,0.0295
avg utilization,0.32285220249999996,0.3258887933333333,0.2587356708333333,0.32701383958333335,0.3271738520833333
revolver share,0.4835833333333333,0.4174833333333333,0.32764583333333336,0.5801458333333334,0.4898125
rewards / revenue,0.14390886747292805,0.1992951299309208,0.20500840346069454,0.2123108669433724,0.12136753162120796
ECL / balance,0.06273922105371682,0.060888963846369645,0.06158055036789155,0.1383963800894,0.04202502030605778
servicing / account / yr,136.72335289999998,107.32749890000001,79.80595674999999,207.31331025,141.52320425000002
